seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID	modalTSS
4440	chr1	8025374	8025459	+	47	194	0.17	86	7.9	-2.75	0.14	NA	8025440
4451	chr1	8029393	8029465	+	27	144	0.15	73	-14.65	-2.32	0.09	NA	8029404
4603	chr1	8368035	8368041	+	7	224	0.82	7	0.79	1	0.64	NA	8368038
4672	chr1	8576283	8576286	+	3	69	0.49	4	0.49	0.53	0.07	NA	8576284
4715	chr1	8810465	8810480	+	12	260	0.4	16	-2.43	-0.19	0.39	NA	8810468
4760	chr1	8926353	8926398	+	18	53	0.19	46	4.99	-1.59	0.14	NA	8926391
4764	chr1	8928047	8928093	+	31	70	0.17	47	-2.99	-2.5	0.09	NA	8928059
4767	chr1	8930514	8930531	+	8	52	0.58	18	3.83	0.12	0.37	NA	8930527
4940	chr1	9294812	9294885	+	19	155	0.53	74	-13.04	-0.29	0.46	NA	9294831
5126	chr1	9599483	9599557	+	19	136	0.4	75	20.43	-0.93	0.31	NA	9599546
5190	chr1	9636991	9637029	+	13	387	0.61	39	-9.14	0.21	0.52	NA	9636995
5216	chr1	9648755	9648886	+	30	93	0.43	132	-4.25	-1.62	0.26	NA	9648805
5217	chr1	9648931	9648988	+	17	60	0.45	58	7.82	-1.09	0.24	NA	9648967
5311	chr1	9689869	9690117	+	54	164	0.25	249	46.3	-2.47	0.22	NA	9690094
5344	chr1	9711657	9711854	+	67	1314	0.35	198	46.59	-1.79	0.38	NA	9711800
5362	chr1	9713779	9713791	+	6	50	0.72	13	4.08	0.62	0.47	NA	9713788
5626	chr1	9788155	9788214	+	15	118	0.37	60	-23.22	-0.62	0.33	NA	9788158
5687	chr1	9884733	9884733	+	1	80	1	1	0	2	1	NA	9884732
5743	chr1	10003460	10003564	+	51	876	0.22	105	11.59	-2.02	0.29	NA	10003531
5806	chr1	10092980	10093105	+	48	898	0.18	126	-22.78	-2.1	0.27	NA	10093020
5807	chr1	10093157	10093264	+	35	107	0.16	108	-1.48	-2.44	0.13	NA	10093217
6025	chr1	10230521	10230604	+	19	79	0.37	84	11.73	-1.28	0.23	NA	10230571
6051	chr1	10240148	10240262	+	21	55	0.24	115	4.6	-1.77	0.14	NA	10240240
6052	chr1	10240298	10240345	+	24	221	0.17	48	10.13	-1.72	0.19	NA	10240336
6072	chr1	10270521	10270690	+	59	236	0.24	170	-5	-2.91	0.17	NA	10270626
6293	chr1	10459047	10459184	+	97	4385	0.17	138	-7.43	-2.64	0.3	NA	10459124
6302	chr1	10460540	10460608	+	33	107	0.12	69	10.99	-2.61	0.09	NA	10460573
6306	chr1	10463127	10463167	+	17	66	0.17	41	6.21	-1.65	0.11	NA	10463145
6309	chr1	10464217	10464299	+	37	193	0.26	83	-2.76	-2.04	0.22	NA	10464221
6321	chr1	10471473	10471528	+	40	320	0.24	56	-2.82	-2.25	0.2	NA	10471488
6358	chr1	10490429	10490593	+	62	443	0.3	165	-0.08	-2.44	0.25	NA	10490498
6359	chr1	10490781	10490882	+	33	85	0.13	102	-11.85	-2.55	0.1	NA	10490828
6410	chr1	10534943	10535037	+	40	1625	0.27	95	20.51	-1.33	0.38	NA	10535009
6432	chr1	10554915	10554968	+	18	53	0.15	54	-2.41	-1.68	0.12	NA	10554929
6434	chr1	10555329	10555357	+	20	82	0.27	29	3.35	-1.48	0.2	NA	10555343
6436	chr1	10555445	10555619	+	29	52	0.12	175	1.67	-2.51	0.07	NA	10555510
6626	chr1	10689799	10689922	+	38	82	0.22	124	-19.46	-2.28	0.18	NA	10689813
6784	chr1	11072672	11072776	+	74	4440	0.37	105	-8.11	-1.22	0.48	NA	11072714
6785	chr1	11073845	11073957	+	25	99	0.2	113	-14.14	-1.83	0.17	NA	11073897
6798	chr1	11080508	11080595	+	37	119	0.1	88	10.32	-2.64	0.11	NA	11080565
6808	chr1	11082306	11082479	+	60	132	0.05	174	3.89	-3.55	0.06	NA	11082390
6810	chr1	11082561	11082642	+	26	77	0.26	82	17.34	-1.88	0.17	NA	11082640
6811	chr1	11082699	11082746	+	30	462	0.29	48	-3.79	-1.9	0.2	NA	11082719
6812	chr1	11082827	11082887	+	20	58	0.17	61	-11.41	-1.87	0.11	NA	11082826
6817	chr1	11083372	11083658	+	129	1243	0.44	287	52.28	-2.3	0.39	NA	11083604
6818	chr1	11083707	11083725	+	12	103	0.31	19	-3.55	-0.89	0.19	NA	11083711
6959	chr1	11333222	11333303	+	29	135	0.21	82	9.91	-2.08	0.16	NA	11333281
6963	chr1	11333502	11333581	+	28	156	0.24	80	7.61	-1.97	0.17	NA	11333558
7107	chr1	11714900	11714982	+	38	256	0.25	83	-7.24	-1.98	0.24	NA	11714924
7141	chr1	11724121	11724422	+	104	819	0.12	302	-26.96	-3.25	0.22	NA	11724255
7170	chr1	11796127	11796246	+	52	680	0.33	120	-0.25	-1.41	0.4	NA	11796187
7223	chr1	11866158	11866315	+	72	1312	0.16	158	50.55	-2.89	0.21	NA	11866296
7389	chr1	11994660	11994825	+	75	781	0.18	166	24.24	-2.47	0.28	NA	11994772
7466	chr1	12040230	12040394	+	44	83	0.06	165	9.04	-3.25	0.04	NA	12040360
7468	chr1	12040471	12040520	+	28	529	0.35	50	5.55	-0.97	0.38	NA	12040501
7540	chr1	12073099	12073197	+	28	124	0.33	99	19.77	-1.63	0.25	NA	12073184
7542	chr1	12073268	12073311	+	17	121	0.55	44	12.96	-0.34	0.43	NA	12073305
7543	chr1	12073360	12073391	+	12	365	0.47	32	-11.46	0.07	0.46	NA	12073362
7549	chr1	12079444	12079654	+	86	1638	0.16	211	13.47	-2.62	0.28	NA	12079588
7601	chr1	12092031	12092067	+	15	67	0.28	37	0.43	-1.07	0.21	NA	12092049
7632	chr1	12123114	12123529	+	134	1645	0.1	416	63.16	-3.39	0.24	NA	12123418
7634	chr1	12123593	12123657	+	24	77	0.22	65	7.7	-2	0.13	NA	12123628
7639	chr1	12123991	12124272	+	67	280	0.32	282	-40.61	-2.43	0.27	NA	12124079
7865	chr1	12202408	12202553	+	35	50	0.12	146	8.8	-2.86	0.05	NA	12202543
7866	chr1	12202585	12202879	+	62	93	0.06	295	-22.39	-3.72	0.04	NA	12202670
7877	chr1	12203604	12203832	+	51	68	0.06	229	13.13	-3.49	0.03	NA	12203683
7930	chr1	12227035	12227083	+	31	918	0.39	49	-8.3	-0.49	0.5	NA	12227046
8012	chr1	12261854	12261981	+	44	269	0.25	128	14.52	-1.98	0.27	NA	12261947
8042	chr1	12268042	12268127	+	21	72	0.29	86	-1.25	-1.48	0.21	NA	12268081
8048	chr1	12268411	12268903	+	124	239	0.05	493	34.32	-4.57	0.06	NA	12268615
8051	chr1	12269074	12269202	+	34	101	0.34	129	23.98	-2.02	0.21	NA	12269177
8064	chr1	12290064	12290153	+	44	268	0.32	90	-7.14	-2.14	0.24	NA	12290087
8434	chr1	13201341	13201344	+	4	76	0.74	4	1.07	0.87	0.43	NA	13201343
8528	chr1	14026672	14026775	+	45	468	0.13	104	-23.42	-2.39	0.2	NA	14026675
8534	chr1	14027358	14027454	+	29	100	0.2	97	-2.71	-2.1	0.16	NA	14027426
8545	chr1	14030204	14030270	+	22	151	0.3	67	12.03	-1.17	0.29	NA	14030250
8618	chr1	14057423	14057667	+	51	167	0.13	245	-15.8	-2.93	0.13	NA	14057466
8650	chr1	14075848	14075960	+	61	649	0.25	113	9.79	-2.22	0.29	NA	14075908
8743	chr1	14105026	14105170	+	37	75	0.09	145	-16.84	-2.92	0.06	NA	14105094
8825	chr1	14113927	14113944	+	5	59	0.88	18	6.16	1.26	0.68	NA	14113941
9028	chr1	14956023	14956097	+	19	92	0.3	75	14.75	-1.13	0.26	NA	14956074
9152	chr1	15250568	15250673	+	24	60	0.15	106	0.18	-2.11	0.1	NA	15250621
9264	chr1	15480196	15480304	+	32	113	0.17	109	-2.55	-2.09	0.18	NA	15480246
9395	chr1	15736329	15736608	+	113	3280	0.09	280	-59.86	-3.29	0.22	NA	15736424
9422	chr1	15755267	15755318	+	12	74	0.24	52	11.09	-0.93	0.18	NA	15755314
9467	chr1	15853322	15853402	+	25	161	0.24	81	-3.32	-1.71	0.2	NA	15853356
9575	chr1	15931020	15931061	+	26	2271	0.5	42	0.85	-0.6	0.45	NA	15931043
9584	chr1	15943896	15944069	+	46	146	0.16	174	-12.17	-2.84	0.12	NA	15943951
9738	chr1	16010777	16010897	+	27	221	0.29	121	-22.91	-1.05	0.36	NA	16010813
9854	chr1	16061202	16061217	+	7	76	0.76	16	-0.78	0.72	0.55	NA	16061208
9896	chr1	16154728	16154809	+	35	229	0.24	82	-2.42	-2.03	0.21	NA	16154792
9897	chr1	16154874	16154885	+	8	105	0.27	12	2.34	-0.54	0.15	NA	16154878
9898	chr1	16154942	16155042	+	25	1223	0.57	101	-40.79	-0.38	0.49	NA	16154946
9922	chr1	16174296	16174434	+	27	113	0.14	139	-31.26	-2.24	0.11	NA	16174379
10189	chr1	16266131	16266220	+	27	118	0.47	90	9.49	-1.17	0.33	NA	16266173
10193	chr1	16266404	16266414	+	11	408	0.76	11	-0.85	0.71	0.63	NA	16266407
10362	chr1	16693650	16693784	+	73	7428	0.15	135	12.75	-1.98	0.36	NA	16693726
10448	chr1	16723284	16723455	+	31	56	0.16	172	34.16	-2.65	0.06	NA	16723413
10449	chr1	16723483	16723956	+	199	3373	0.32	474	146.45	-2.35	0.43	NA	16723883
10452	chr1	16724117	16724214	+	18	54	0.19	98	19.3	-1.68	0.12	NA	16724198
10481	chr1	16767149	16767300	+	73	5246	0.24	152	4.05	-1.56	0.42	NA	16767235
10491	chr1	16774360	16774450	+	22	109	0.43	91	-28	-0.85	0.36	NA	16774366
10492	chr1	16774552	16774616	+	24	54	0.09	65	-11.67	-2.33	0.05	NA	16774557
10540	chr1	16786079	16786211	+	43	148	0.32	133	15.98	-2.21	0.22	NA	16786150
10682	chr1	17231441	17231478	+	16	96	0.27	38	-1.37	-1.03	0.24	NA	17231446
10683	chr1	17231689	17231698	+	6	75	0.76	10	0.06	0.82	0.54	NA	17231692
10707	chr1	17261368	17261377	+	5	256	0.8	10	-3.43	0.98	0.56	NA	17261368
11126	chr1	18609699	18609816	+	27	87	0.22	118	14.13	-2	0.16	NA	18609786
11363	chr1	19536836	19537032	+	63	227	0.12	197	44.63	-3.07	0.15	NA	19536989
11434	chr1	19578031	19578159	+	41	166	0.16	129	-24.58	-2.44	0.17	NA	19578075
11436	chr1	19578251	19578380	+	65	3246	0.39	130	-14.81	-1.51	0.42	NA	19578297
11463	chr1	19584985	19585027	+	24	156	0.41	43	5.01	-1.06	0.33	NA	19585011
11464	chr1	19585206	19585358	+	43	77	0.08	153	5.16	-3.16	0.05	NA	19585239
11496	chr1	19638749	19638843	+	31	202	0.42	95	14.9	-1.31	0.33	NA	19638818
11611	chr1	19923383	19923622	+	114	2287	0.3	240	8.7	-2.77	0.3	NA	19923507
11668	chr1	19934570	19934592	+	19	2328	0.54	23	2.43	-0.53	0.4	NA	19934580
11675	chr1	19935045	19935094	+	26	432	0.44	50	-16.16	-0.94	0.37	NA	19935049
11711	chr1	19953075	19953092	+	9	110	0.41	18	6.06	0.01	0.37	NA	19953090
11797	chr1	20208840	20208943	+	29	166	0.28	104	8.9	-1.6	0.26	NA	20208919
12069	chr1	20959946	20959996	+	18	195	0.43	51	-11.23	-0.5	0.4	NA	20959949
12194	chr1	21356817	21356817	+	1	59	1	1	0	2	1	NA	21356816
12215	chr1	21457925	21457934	+	4	288	0.97	10	4.38	1.78	0.89	NA	21457933
12364	chr1	21766578	21766699	+	43	204	0.28	122	-3.4	-2.34	0.2	NA	21766628
12422	chr1	21811093	21811100	+	4	80	0.84	8	-0.59	1.16	0.58	NA	21811095
12586	chr1	22234536	22234557	+	10	4862	0.83	22	4.56	1.07	0.72	NA	22234549
12590	chr1	22234963	22234968	+	5	359	0.84	6	-1.31	1.11	0.62	NA	22234963
12630	chr1	22351978	22352067	+	31	217	0.24	90	-16.98	-2.02	0.19	NA	22351993
12676	chr1	22379077	22379237	+	88	34338	0.41	161	41.46	-1.21	0.5	NA	22379202
12756	chr1	22404914	22405031	+	25	201	0.43	118	21.49	-0.92	0.37	NA	22405001
12765	chr1	22408220	22408254	+	11	1819	0.72	35	14.04	0.59	0.59	NA	22408250
12780	chr1	22412931	22412976	+	18	231	0.73	46	2.53	0.27	0.59	NA	22412959
12782	chr1	22413160	22413251	+	25	206	0.27	92	-26.19	-1.45	0.26	NA	22413164
12796	chr1	22416437	22416510	+	20	82	0.35	74	21.3	-1.19	0.26	NA	22416509
12813	chr1	22418393	22418468	+	21	87	0.29	76	19.2	-1.55	0.19	NA	22418466
12816	chr1	22418690	22418798	+	34	396	0.41	109	-32.49	-0.94	0.42	NA	22418706
12820	chr1	22419098	22419141	+	14	391	0.44	44	-0.92	-0.51	0.34	NA	22419106
12859	chr1	22468872	22468874	+	2	57	0.67	3	-0.33	1.08	0.08	NA	22468871
12896	chr1	22551462	22551462	+	1	86	1	1	0	2	1	NA	22551461
12960	chr1	22755319	22755387	+	27	136	0.36	69	-7	-1.54	0.26	NA	22755339
12969	chr1	22778288	22778375	+	22	397	0.69	88	12.23	0.2	0.6	NA	22778342
13276	chr1	23334593	23334594	+	2	78	0.96	2	-0.46	1.76	0.76	NA	23334592
13280	chr1	23345893	23346050	+	71	544	0.12	158	16.44	-3.06	0.18	NA	23345959
13395	chr1	23405540	23405650	+	41	85	0.08	111	8.86	-3.05	0.06	NA	23405568
13396	chr1	23406025	23406082	+	20	102	0.31	58	-1.02	-1.49	0.19	NA	23406047
13425	chr1	23410036	23410050	+	5	53	0.77	15	-5.81	0.91	0.53	NA	23410036
13498	chr1	23670322	23670351	+	8	690	0.98	30	-10.39	1.84	0.95	NA	23670325
13629	chr1	24018236	24018336	+	46	5123	0.75	101	6.68	0.19	0.67	NA	24018294
13636	chr1	24019089	24019250	+	70	378	0.15	162	-8.44	-3.24	0.15	NA	24019172
13647	chr1	24020306	24020404	+	43	689	0.57	99	10.36	-0.68	0.51	NA	24020366
13651	chr1	24021097	24021354	+	62	299	0.15	258	-47.83	-2.98	0.16	NA	24021155
13663	chr1	24022261	24022374	+	59	520	0.15	114	4.54	-2.6	0.22	NA	24022293
13668	chr1	24022603	24022750	+	25	81	0.19	148	-31.87	-1.89	0.16	NA	24022617
13669	chr1	24022837	24022887	+	27	729	0.18	51	1.02	-1.54	0.26	NA	24022854
13765	chr1	24069896	24070007	+	41	310	0.4	112	18.85	-1.44	0.36	NA	24069968
13820	chr1	24104852	24104998	+	48	650	0.5	147	-21.02	-1.09	0.45	NA	24104906
13866	chr1	24117617	24117710	+	70	2914	0.19	94	4.33	-2.42	0.28	NA	24117673
13941	chr1	24285591	24285884	+	92	463	0.2	294	-24.94	-3.09	0.22	NA	24285685
13943	chr1	24286270	24286462	+	89	7540	0.78	193	-47.69	0.18	0.72	NA	24286316
13965	chr1	24288535	24288720	+	40	129	0.18	186	1.94	-2.52	0.15	NA	24288639
13978	chr1	24289592	24289598	+	5	60	0.52	7	-2.02	0.39	0.3	NA	24289592
14099	chr1	24742239	24742395	+	60	940	0.2	157	-31.05	-2.03	0.32	NA	24742290
14256	chr1	24969647	24969840	+	108	12548	0.16	194	40.61	-2.4	0.35	NA	24969791
14259	chr1	24970034	24970074	+	16	54	0.24	41	7.52	-1.35	0.16	NA	24970061
14264	chr1	24972454	24972536	+	23	117	0.26	83	6.64	-1.63	0.2	NA	24972533
14265	chr1	24973154	24973250	+	40	146	0.29	97	-22.14	-2.42	0.17	NA	24973159
14287	chr1	24975349	24975473	+	31	130	0.24	125	24.42	-1.84	0.23	NA	24975465
14353	chr1	24995772	24995792	+	8	74	0.58	21	-6.72	0.14	0.38	NA	24995774
14355	chr1	24995856	24996053	+	41	276	0.26	198	5	-2.07	0.24	NA	24995981
14359	chr1	24996609	24996781	+	71	464	0.42	173	-23.51	-2.06	0.34	NA	24996643
14363	chr1	24997847	24997956	+	45	300	0.15	110	0.01	-2.49	0.18	NA	24997921
14367	chr1	24998991	24999120	+	39	249	0.18	130	17.3	-2.28	0.19	NA	24999094
14401	chr1	25071785	25071976	+	139	10754	0.24	192	11.82	-2.38	0.38	NA	25071871
14402	chr1	25072002	25072093	+	47	110	0.09	92	11.78	-3.18	0.07	NA	25072076
14548	chr1	25124232	25124325	+	33	63	0.11	94	-7.94	-2.62	0.08	NA	25124236
14814	chr1	25357506	25357883	+	73	166	0.22	378	-84.71	-3.23	0.16	NA	25357576
14819	chr1	25358598	25358712	+	19	61	0.2	115	21.67	-1.65	0.14	NA	25358710
14906	chr1	25559070	25559147	+	28	99	0.22	78	-9.64	-2.15	0.14	NA	25559078
14947	chr1	25594457	25594503	+	11	79	0.62	47	-18.75	0.05	0.44	NA	25594457
14974	chr1	25664764	25664978	+	126	7275	0.15	215	-53.46	-2.67	0.33	NA	25664797
14985	chr1	25666961	25667071	+	28	104	0.13	111	-6.45	-2.18	0.13	NA	25667026
15030	chr1	25687150	25687342	+	28	60	0.27	193	-40.68	-2.11	0.14	NA	25687151
15053	chr1	25688429	25688526	+	27	84	0.21	98	-0.55	-1.9	0.18	NA	25688432
15096	chr1	25757317	25757655	+	110	1211	0.5	339	-71.09	-1.49	0.49	NA	25757386
15114	chr1	25762530	25762583	+	15	65	0.32	54	5.88	-1.31	0.15	NA	25762572
15246	chr1	25799153	25799298	+	55	766	0.19	146	26.05	-2.14	0.28	NA	25799262
15255	chr1	25802110	25802169	+	14	55	0.29	60	5.08	-1.01	0.21	NA	25802136
15272	chr1	25812099	25812233	+	34	82	0.16	135	14.09	-2.53	0.11	NA	25812229
15309	chr1	25825090	25825109	+	6	70	0.5	20	-6.07	0.41	0.39	NA	25825092
15333	chr1	25870060	25870158	+	50	651	0.13	99	13.75	-2.5	0.2	NA	25870147
15353	chr1	25876298	25876438	+	67	693	0.22	141	6.44	-2.25	0.3	NA	25876374
15487	chr1	26111662	26111664	+	2	80	0.96	3	-0.92	1.77	0.77	NA	26111661
15525	chr1	26146409	26146605	+	71	1162	0.21	197	-34.54	-2.66	0.24	NA	26146467
15526	chr1	26146632	26146753	+	36	158	0.3	122	-24.17	-2.09	0.21	NA	26146641
15694	chr1	26438311	26438353	+	29	146	0.29	43	-2.64	-1.81	0.22	NA	26438329
15746	chr1	26451585	26451732	+	37	174	0.26	148	1.62	-1.93	0.25	NA	26451669
15762	chr1	26496387	26496459	+	37	373	0.38	73	-13.77	-1.54	0.32	NA	26496416
15772	chr1	26503952	26504030	+	25	57	0.18	79	-2.96	-2.18	0.1	NA	26503996
15802	chr1	26560637	26560738	+	39	235	0.18	102	7.07	-2.58	0.13	NA	26560689
15914	chr1	26606511	26606669	+	124	9234	0.26	159	-20.12	-2.08	0.41	NA	26606554
15916	chr1	26607250	26607321	+	17	61	0.18	72	3.94	-1.46	0.15	NA	26607296
15917	chr1	26607346	26607408	+	27	115	0.19	63	2.09	-2.08	0.14	NA	26607407
15918	chr1	26607520	26607616	+	25	119	0.34	97	-4.87	-1.45	0.26	NA	26607547
15938	chr1	26644329	26644529	+	108	21419	0.65	201	11.08	-0.39	0.65	NA	26644447
15956	chr1	26646930	26646988	+	16	652	0.61	59	24.84	0.12	0.53	NA	26646986
15984	chr1	26758777	26758979	+	89	1173	0.13	203	-34.72	-3.12	0.21	NA	26758837
16093	chr1	26798874	26799095	+	99	2493	0.21	222	-13.92	-2.16	0.37	NA	26798996
16153	chr1	26856216	26856288	+	26	120	0.2	73	-3.96	-1.82	0.19	NA	26856243
